Year,soils_pct,rice_pct,synthetic_fertilizers_pct,crop_residues_pct,livestock_pct
1961,16.272460555286692,14.23182892324217,1.696031480023336,1.7639857032957296,66.03569333815209
1962,16.40639730553691,14.462874590686795,1.8620477410324638,1.8157309137086222,65.4529494490352
1963,16.61193133103922,14.352203145711046,2.0501678143444297,1.8608906354989105,65.12480707340642
1964,16.72874468316899,14.501915725275246,2.1948393109534505,1.8439306659996633,64.73056961460266
1965,16.985959447028144,14.177417194758107,2.4397985960451094,1.8315988008319142,64.56522596133671
1966,17.262383279353198,14.00365620580537,2.76255312077093,1.8306761382454066,64.14073125582509
1967,17.46078599870792,13.803063924960588,2.920840494638695,1.885767489225396,63.92954209246739
1968,17.62029422436947,13.733658286956715,3.1067064007523264,1.883977682323128,63.65536340559835
1969,17.78919713443341,13.6641098829271,3.299103684850807,1.8726558202699477,63.37493347751874
1970,17.98757259614783,13.630711403945513,3.5750473563941476,1.8393332670223892,62.967335376490105
1971,18.131864236227884,13.638255012896265,3.6969786057713665,1.9411567040114623,62.59174544109302
1972,18.298539992319036,13.22544913153219,3.91156633222202,1.8826923602642192,62.68175218366253
1973,18.437810331546217,13.339727989887432,4.111568671429604,1.9285293541303146,62.18236365300643
1974,18.334516117228844,13.21311013246289,3.9423006470996698,1.890746922060739,62.61932618114786
1975,18.712996299185196,13.215559948399799,4.393494536821323,1.939197069794902,61.738752145798784
1976,18.856428406832556,13.131416284540235,4.535972688136709,1.9630538576575465,61.513128762832956
1977,19.14541660658367,12.926326424614881,4.905366060996766,1.9508654448980292,61.072025462906666
1978,19.547070695069415,12.767997070058929,5.369074108888959,2.0208390707949846,60.295019055187716
1979,19.805859190860176,12.496810675839756,5.697828684036828,2.0160054240101073,59.98349602525314
1980,19.960420057529614,12.472080619384105,5.875966939586191,1.9817678254204119,59.709764558079684
1981,20.001087738267962,12.442504707483671,5.814968327405825,2.0753472716307186,59.66609195521183
1982,20.084411965265005,12.074479616182847,5.817330439677018,2.094493152972128,59.92928482590298
1983,20.263218778868435,11.945489434979706,6.153873230673512,2.0097804704746625,59.62763808500369
1984,20.58439604723125,11.863779204450768,6.4766294543977185,2.1498975812860577,58.9252977126342
1985,20.568132067170463,11.758082754676703,6.39639916627163,2.165620142425527,59.11176586945568
1986,20.656833238487103,11.600519968035918,6.479007147516462,2.129230763548148,59.13440888241236
1987,20.850977186941375,11.443724209346268,6.73151088971016,2.060108684257751,58.91367902974446
1988,21.016874446593565,11.599452937695807,7.018716970674725,2.005207189993315,58.35974845504259
1989,21.09272781968726,11.626923440384848,6.987054791431175,2.093051822791818,58.200242125704904
1990,22.028354656068693,11.329226758635707,6.825480375790965,2.1099076696755787,57.70703053982905
1991,21.99832338874757,11.336246983313849,6.8121813419439015,2.0997796607410693,57.753468625253625
1992,22.18382382213279,10.408960610165403,6.7666644245478205,2.1711561704067637,58.469394972747224
1993,22.125245072111625,10.39046257256496,6.661138335218442,2.1432597269154994,58.679894293189484
1994,22.15926482037269,10.416650498306637,6.653755460602284,2.1712285595285685,58.599100661189816
1995,22.386409077902755,10.453970917503346,7.060794735633034,2.077443453629206,58.021381815331665
1996,22.66934094191991,10.381862858073271,7.316732835944058,2.1678545003639362,57.464208863698815
1997,22.737856264963494,10.589343679846825,7.251080018969727,2.255327097021756,57.1663929391982
1998,22.80418000004354,10.506168408326594,7.346681524553713,2.228353612866167,57.114616454209965
1999,22.90636029338222,10.656280051870407,7.477222467607563,2.201620731519356,56.75851645562046
2000,22.79996347991144,10.567329243522696,7.190387394668296,2.2092657174756356,57.23305416442194
2001,22.939274786357178,10.362775174188508,7.263075565625932,2.247258978264654,57.187615495563726
2002,23.015546126554128,10.157358637527683,7.360946418071316,2.197421746528876,57.268727071318004
2003,23.12575093060831,10.024994570918368,7.497398877298799,2.1875867080612297,57.16426891311329
2004,23.273989753014995,10.038301889586764,7.558449695913335,2.3208674957384288,56.80839116574647
2005,23.24717681700001,10.164102409179996,7.524487137224941,2.296669628042635,56.76756400855243
2006,23.334407333387176,10.086422609716484,7.678391139574109,2.2668456289446315,56.633933288377605
2007,23.515282220645,9.923855904885366,7.8494909636091705,2.2826367810098933,56.42873412985057
2008,23.452355008444613,10.111370987040088,7.650698806908926,2.4142843728182877,56.371290824788076
2009,23.57936495385234,9.978350878852343,7.798788649277484,2.3659421526101743,56.27755336540765
2010,23.73253802719198,10.11205428844417,8.055999483121555,2.3470260810241794,55.75238212021812
2011,23.931217116509103,10.04086758128062,8.2577240249932,2.4143169631193486,55.35587431409773
2012,23.913547222604194,10.011483464657141,8.21310876691214,2.3625475081356475,55.499313037690875
2013,24.059357900461688,10.008054151347928,8.256869130882368,2.501874450719585,55.17384436658843
2014,24.139595418919114,9.835781282167842,8.285368068728163,2.539853979324462,55.199401250860426
2015,24.130896957898837,9.648637440698845,8.157059677738863,2.556781473837348,55.506624449826106
2016,24.163117953676878,9.593119629295979,8.146340201625566,2.5830131804627343,55.51440903493885
2017,24.28289534593362,9.55919875974454,8.227554860222034,2.608604802898499,55.32174623120131
2018,24.22620274068204,9.619235956033737,8.147770702419924,2.55791352286504,55.448877077999256
2019,24.29234537261733,9.422806346868155,8.091123863511966,2.5772587454671303,55.61646567153542
2020,24.45189536808809,9.431518197607156,8.356899752809664,2.5617808644428175,55.19790581705227
2021,24.335114758068553,9.468853317440681,8.192933641760487,2.598091368132555,55.40500691459772
2022,24.19012173135025,9.373405050888877,7.902352906142214,2.6002639411087958,55.93385637050986
