origin,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
crop_residues_kt,60366.5495,63301.08,65710.937,67040.77325,68110.55175,69893.697,73690.47125,75192.955,75915.6895,75713.9715,81315.64749999999,80016.061,83833.0945,83462.704,88110.9895,89675.61575,90734.37025,95417.8345,95877.7685,96676.65075,102160.3885,103700.012,100469.0525,109597.269,110575.9935,109820.399,107108.64074999999,106290.95675,112978.192,115863.7505,114637.251,131557.6335,128914.709,131569.6645,127682.3265,135956.7395,139563.1775,138548.29375,138047.4835,137362.856,139994.9155,139051.436,140344.159,151607.719,151776.0735,151526.205,154565.914,164802.0425,162653.873,162896.56,169403.1845,166847.869,178689.235,182651.568,184470.369,188488.829,192351.8665,188413.0655,190560.95675,194166.57325,198206.89575,198719.18050000002,201702.1
livestock_kt,2259852.1877,2281859.2546,2299658.031,2353443.9336,2400947.8288,2448839.9352,2498186.0757,2540600.6244,2569159.6501,2591975.6477,2621987.343,2664028.9259,2703064.8806,2764187.1182,2805213.883,2810023.6155,2840447.9585,2846946.2177999998,2852712.4368,2912823.5813,2937104.1742000002,2967146.2744,2980789.3893,3003888.0738,3018231.1803,3050004.9545,3063024.8446,3093502.5218,3141517.1176,3168931.5531,3153044.5802,3542856.7229,3529530.9299,3550922.3477,3566068.1902,3603861.0865,3537546.0417,3551111.7321,3558910.1482,3558510.7375,3562551.302,3623928.2467,3667361.4883,3710935.9412000002,3751500.8089,3785668.0119,3821001.6325,3847974.1537,3868971.1867,3869522.9391,3884105.332,3919473.3987,3940634.2069,3969620.8023,4004772.2494,4051023.0574,4079284.5025,4084302.6222,4112247.9177,4183647.5445,4226816.1021,4274616.0974,4316361.7296
rice_kt,487037.0568,504213.248,506798.572,527253.9048,527206.9992,534647.9824,539384.7816,548135.1288000001,553930.0451999999,561092.0616,571310.67,562093.0784,579877.4464,583262.5652,600473.3,599865.2744,601200.9136,602865.7348,594326.9332,608425.9552,612490.802,597817.0324,597155.7704,604790.578,600364.6054,598325.8147999999,594979.1652,614857.635,627594.9666,622134.6656,618901.2186,630713.8306,624974.8652,631216.4628,642514.397,651097.3056,655285.1928,653222.9438,668177.1404,657032.1142000001,645557.9214,642751.1272,643151.39,655739.3108,671697.6336000001,674222.0646,671981.5746,690214.7112,685992.0116,701832.362,704528.4316,707031.15,714796.6756,707332.346,696143.854,700033.5496,704870.9416,708542.2232,696716.6164,714848.6408,722373.372,716340.884,719604.8412
soils_kt,556870.894,571969.481,586593.0819999999,608215.916,631646.5535,659063.48,682318.237,703257.795,721157.167,740437.083,759549.3335,777703.8475,801490.8835,809335.334,850259.443,861393.4974999999,890449.5815,922952.8385,941932.7744999999,973729.886,984567.22,994395.116,1012959.585,1049349.332,1050203.4005,1065427.8095,1084078.642,1114051.308,1138537.626,1209667.9985,1200996.165,1344192.2805,1330809.0915,1342782.189,1375897.278,1421705.0455,1407054.2025,1417854.0655,1436289.7975,1417605.893,1429021.6955,1456408.9685,1483627.622,1520343.796,1536296.372,1559777.227,1592308.1235,1600886.8095,1621034.9980000001,1647169.086,1679159.9655,1688822.9255,1718370.9025,1735979.702,1741030.867,1763242.1865,1790558.784,1784475.1525,1796161.361,1853296.9775,1856511.9045,1848674.3175,1875765.3735
synthetic_fertilizers_kt,58041.042,64915.8045,72394.60800000001,79798.9465,90727.308,105471.9875,114138.203,123994.2685,133742.532,147162.5825,154867.56350000002,166244.9675,178729.72699999998,174023.857,199626.514,207210.8935,228147.61599999998,253511.24300000002,270978.983,286647.5055,286245.792,288020.6295,307632.511,330164.984,326598.455,334170.989,349982.9825,372044.418,377145.3765,374815.3375,371910.328,410014.89,400660.125,403196.7845,433965.45749999996,458868.0375,448708.2025,456781.2685,468841.763,447068.06450000004,452459.48949999997,465795.95900000003,480994.027,493746.1185,497257.8985,513258.36,531518.5295000001,522246.17949999997,536151.392,559130.814,579412.218,580026.3025,589723.2885,595835.6195,588527.3435,594458.494,606678.916,600155.729,598252.8169999999,633399.449,625034.194,603919.11325,615761.5525
total_kt,3422167.73,3486258.8681000005,3531155.2299999995,3635753.47415,3718639.24125,3817917.0821,3907717.76855,3991180.7717000004,4053905.0838,4116381.3463000003,4189030.5575,4250086.8803,4346996.032,4414271.5784,4543684.1295,4568168.89665,4650980.43985,4721693.8686,4755828.896,4878303.57875,4922568.3767,4951079.064300001,4999006.3082,5097790.2368,5105973.6347,5157749.9668000005,5199174.275049999,5300746.83955,5397773.2787,5491413.3052,5459489.5428,6059335.3575,6014889.7206,6059687.4485,6146127.6492,6271488.2146000005,6188156.817,6217518.303650001,6270266.3326,6217579.6652,6229585.3239,6327935.7374,6415478.6863,6532372.885500001,6608528.786499999,6684451.8685,6771375.7741,6826123.896400001,6874803.461300001,6940551.7611,7016609.1316,7062201.645699999,7142214.3085,7191420.0378,7214944.6829,7297246.1165,7373745.0106,7365888.792400001,7393939.66885,7579359.1850499995,7628942.46835,7642269.59265,7729195.5967999995
